g-qp,t-qp,g-qp,t-qp,distance,bitrate,qoe
24,32,24,32,5,7.56,5
24,32,24,32,5,7.56,7
24,32,24,32,5,7.56,7
24,32,24,32,5,7.56,4
24,32,24,32,5,7.56,5
24,32,24,32,5,7.56,7
24,32,24,32,5,7.56,8
24,32,24,32,5,7.56,9
24,32,24,32,5,7.56,5
24,32,24,32,5,7.56,8
24,32,24,32,5,7.56,7
24,32,24,32,5,7.56,8
24,32,24,32,5,7.56,8
24,32,24,32,5,7.56,8
24,32,24,32,5,7.56,6
24,32,24,32,5,7.56,6
24,32,24,32,5,7.56,6
24,32,24,32,5,7.56,6
24,32,24,32,5,7.56,5
24,32,24,32,5,7.56,6
24,32,24,32,5,7.56,10
24,32,24,32,5,7.56,4
24,32,24,32,5,7.56,8
24,32,24,32,5,7.56,5
24,32,24,32,5,7.56,7
24,32,24,32,5,7.56,7
24,32,24,32,5,11.58,7
24,32,24,32,5,11.58,6
24,32,24,32,5,11.58,5
24,32,24,32,5,11.58,7
24,32,24,32,5,11.58,5
24,32,24,32,5,11.58,7
24,32,24,32,5,11.58,6
24,32,24,32,5,11.58,8
24,32,24,32,5,11.58,5
24,32,24,32,5,11.58,3
24,32,24,32,5,11.58,7
24,32,24,32,5,11.58,7
24,32,24,32,5,11.58,8
24,32,24,32,5,11.58,10
24,32,24,32,5,11.58,8
24,32,24,32,5,11.58,7
24,32,24,32,5,11.58,7
24,32,24,32,5,11.58,5
24,32,24,32,5,11.58,8
24,32,24,32,5,11.58,9
24,32,24,32,5,11.58,6
24,32,24,32,5,11.58,5
24,32,24,32,5,11.58,5
24,32,24,32,5,11.58,7
24,32,24,32,5,11.58,7
24,32,24,32,5,11.58,5
24,32,24,32,5,11.58,10
24,32,24,32,5,11.58,4
24,32,24,32,5,11.58,7
24,32,24,32,5,11.58,5
24,32,24,32,5,11.58,3
24,32,24,32,5,11.58,4
16,22,16,22,5,46.78,3
16,22,16,22,5,46.78,7
16,22,16,22,5,46.78,7
16,22,16,22,5,46.78,8
16,22,16,22,5,46.78,7
16,22,16,22,5,46.78,9
16,22,16,22,5,46.78,7
16,22,16,22,5,46.78,8
16,22,16,22,5,46.78,7
16,22,16,22,5,46.78,6
16,22,16,22,5,46.78,7
16,22,16,22,5,46.78,4
16,22,16,22,5,46.78,10
16,22,16,22,5,46.78,8
16,22,16,22,5,46.78,8
16,22,16,22,5,46.78,7
16,22,16,22,5,46.78,8
16,22,16,22,5,46.78,6
16,22,16,22,5,46.78,8
16,22,16,22,5,46.78,8
16,22,16,22,5,46.78,1
16,22,16,22,5,46.78,5
