user,objects,qoe,time
21,RedAndBlack_r3_r3_d500,5,2023-03-20-10:39:09+01:00
21,Soldier_r1_r1_d250,2,2023-03-20-10:39:25+01:00
21,RedAndBlack_r1_r1_d500,2,2023-03-20-10:39:38+01:00
21,Soldier_r5_r5_d125,5,2023-03-20-10:39:58+01:00
21,Soldier_r5_r5_d500,8,2023-03-20-10:40:17+01:00
21,Soldier_r3_r3_d500,5,2023-03-20-10:40:33+01:00
21,RedAndBlack_r1_r1_d125,1,2023-03-20-10:40:49+01:00
21,Soldier_r1_r1_d125,1,2023-03-20-10:41:01+01:00
21,Soldier_r3_r3_d250,6,2023-03-20-10:41:18+01:00
21,Soldier_r3_r3_d125,5,2023-03-20-10:41:35+01:00
21,RedAndBlack_r5_r5_d250,6,2023-03-20-10:41:50+01:00
21,RedAndBlack_r1_r1_d250,4,2023-03-20-10:42:05+01:00
21,LongDress_r5_r3_d500,6,2023-03-20-10:42:26+01:00
21,Loot_r5_r5_d500,8,2023-03-20-10:42:42+01:00
21,Loot_r1_r5_d500,6,2023-03-20-10:42:59+01:00
21,LongDress_r3_r5_d500,5,2023-03-20-10:43:15+01:00
21,LongDress_r1_r5_d500,4,2023-03-20-10:43:31+01:00
21,Loot_r1_r3_d500,4,2023-03-20-10:43:42+01:00
21,Loot_r3_r3_d500,7,2023-03-20-10:43:57+01:00
21,LongDress_r5_r1_d500,4,2023-03-20-10:44:16+01:00
21,LongDress_r3_r1_d500,5,2023-03-20-10:44:30+01:00
21,LongDress_r5_r5_d500,7,2023-03-20-10:44:46+01:00
21,Loot_r5_r1_d500,5,2023-03-20-10:45:00+01:00
21,Loot_r3_r1_d500,4,2023-03-20-10:45:15+01:00
21,Loot_r3_r5_d500,8,2023-03-20-10:45:31+01:00
21,Loot_r1_r1_d500,5,2023-03-20-10:45:47+01:00
21,LongDress_r3_r3_d500,5,2023-03-20-10:45:58+01:00
21,LongDress_r1_r1_d500,3,2023-03-20-10:46:13+01:00
21,LongDress_r1_r3_d500,2,2023-03-20-10:46:29+01:00
21,Loot_r5_r3_d500,5,2023-03-20-10:46:43+01:00
22,LongDress_r1_r3_d500,7,2023-03-20-11:16:08+01:00
22,LongDress_r3_r5_d500,7,2023-03-20-11:16:23+01:00
22,LongDress_r3_r3_d500,6,2023-03-20-11:16:49+01:00
22,LongDress_r1_r1_d500,5,2023-03-20-11:17:13+01:00
22,Loot_r5_r1_d500,8,2023-03-20-11:17:32+01:00
22,Loot_r1_r5_d500,7,2023-03-20-11:17:55+01:00
22,Loot_r5_r3_d500,8,2023-03-20-11:18:16+01:00
22,Loot_r5_r5_d500,8,2023-03-20-11:18:27+01:00
22,Loot_r3_r1_d500,6,2023-03-20-11:18:43+01:00
22,Loot_r3_r5_d500,7,2023-03-20-11:19:04+01:00
22,LongDress_r3_r1_d500,6,2023-03-20-11:19:18+01:00
22,Loot_r3_r3_d500,7,2023-03-20-11:19:34+01:00
22,LongDress_r5_r1_d500,6,2023-03-20-11:19:47+01:00
22,LongDress_r1_r5_d500,6,2023-03-20-11:20:02+01:00
22,LongDress_r5_r5_d500,8,2023-03-20-11:20:22+01:00
22,Loot_r1_r3_d500,6,2023-03-20-11:20:42+01:00
22,LongDress_r5_r3_d500,7,2023-03-20-11:21:00+01:00
22,Loot_r1_r1_d500,6,2023-03-20-11:21:14+01:00
22,Soldier_r5_r5_d500,8,2023-03-20-11:23:05+01:00
22,Soldier_r1_r1_d500,6,2023-03-20-11:23:19+01:00
22,Soldier_r1_r1_d125,6,2023-03-20-11:23:38+01:00
22,RedAndBlack_r5_r5_d250,7,2023-03-20-11:23:59+01:00
22,Soldier_r3_r3_d125,7,2023-03-20-11:24:13+01:00
22,RedAndBlack_r3_r3_d500,7,2023-03-20-11:24:27+01:00
22,RedAndBlack_r1_r1_d250,6,2023-03-20-11:24:45+01:00
22,Soldier_r3_r3_d250,8,2023-03-20-11:25:07+01:00
22,RedAndBlack_r1_r1_d125,6,2023-03-20-11:25:22+01:00
22,Soldier_r5_r5_d125,8,2023-03-20-11:25:47+01:00
22,RedAndBlack_r5_r5_d125,8,2023-03-20-11:26:00+01:00
22,Soldier_r1_r1_d250,6,2023-03-20-11:26:20+01:00
22,RedAndBlack_r1_r1_d500,6,2023-03-20-11:26:33+01:00
22,Soldier_r5_r5_d250,8,2023-03-20-11:26:52+01:00
22,RedAndBlack_r5_r5_d500,7,2023-03-20-11:27:14+01:00
22,Soldier_r3_r3_d500,7,2023-03-20-11:27:26+01:00
22,RedAndBlack_r3_r3_d250,7,2023-03-20-11:27:46+01:00
22,RedAndBlack_r3_r3_d125,6,2023-03-20-11:28:06+01:00
23,RedAndBlack_r1_r1_d250,3,2023-03-20-13:22:09+01:00
23,RedAndBlack_r5_r5_d125,5,2023-03-20-13:22:37+01:00
23,Soldier_r5_r5_d125,3,2023-03-20-13:22:54+01:00
23,Soldier_r3_r3_d500,5,2023-03-20-13:23:11+01:00
23,RedAndBlack_r1_r1_d125,2,2023-03-20-13:23:30+01:00
23,RedAndBlack_r5_r5_d250,6,2023-03-20-13:23:50+01:00
23,RedAndBlack_r3_r3_d250,5,2023-03-20-13:24:05+01:00
23,RedAndBlack_r3_r3_d125,3,2023-03-20-13:24:21+01:00
23,Soldier_r5_r5_d250,5,2023-03-20-13:24:36+01:00
23,Soldier_r1_r1_d500,3,2023-03-20-13:24:52+01:00
23,RedAndBlack_r3_r3_d500,5,2023-03-20-13:25:07+01:00
23,Soldier_r3_r3_d125,3,2023-03-20-13:25:21+01:00
23,RedAndBlack_r5_r5_d500,7,2023-03-20-13:25:35+01:00
23,RedAndBlack_r1_r1_d500,4,2023-03-20-13:25:48+01:00
23,Soldier_r1_r1_d125,2,2023-03-20-13:26:04+01:00
23,Soldier_r5_r5_d500,6,2023-03-20-13:26:17+01:00
23,Soldier_r1_r1_d250,4,2023-03-20-13:26:30+01:00
23,Soldier_r3_r3_d250,5,2023-03-20-13:26:43+01:00
23,LongDress_r5_r5_d500,7,2023-03-20-13:27:03+01:00
23,LongDress_r5_r1_d500,5,2023-03-20-13:27:17+01:00
23,Loot_r5_r1_d500,5,2023-03-20-13:27:29+01:00
23,Loot_r3_r3_d500,7,2023-03-20-13:27:42+01:00
23,Loot_r5_r5_d500,8,2023-03-20-13:27:56+01:00
23,LongDress_r3_r3_d500,6,2023-03-20-13:28:10+01:00
23,LongDress_r3_r1_d500,4,2023-03-20-13:28:23+01:00
23,LongDress_r5_r3_d500,6,2023-03-20-13:28:39+01:00
23,Loot_r3_r1_d500,4,2023-03-20-13:28:53+01:00
23,LongDress_r1_r5_d500,6,2023-03-20-13:29:07+01:00
23,Loot_r1_r1_d500,4,2023-03-20-13:29:21+01:00
23,LongDress_r3_r5_d500,6,2023-03-20-13:29:36+01:00
23,LongDress_r1_r1_d500,4,2023-03-20-13:29:50+01:00
23,Loot_r1_r3_d500,4,2023-03-20-13:30:01+01:00
23,Loot_r3_r5_d500,7,2023-03-20-13:30:16+01:00
23,Loot_r5_r3_d500,7,2023-03-20-13:30:27+01:00
23,Loot_r1_r5_d500,4,2023-03-20-13:30:45+01:00
23,LongDress_r1_r3_d500,4,2023-03-20-13:30:59+01:00
24,Loot_r5_r1_d500,4,2023-03-20-14:10:01+01:00
24,LongDress_r5_r5_d500,9,2023-03-20-14:10:16+01:00
24,LongDress_r1_r1_d500,3,2023-03-20-14:10:44+01:00
24,LongDress_r3_r1_d500,5,2023-03-20-14:10:58+01:00
24,Loot_r3_r3_d500,7,2023-03-20-14:11:14+01:00
